channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCMAc88lqzqGV0uxgw9JDj0w,2021-03,34064,0,1733,0,100.0
UCMwGHR0BTZuLsmjY_NT5Pwg,2021-03,821424,226717,60359,4960,91.78250136682185
UCMxKcUjeTEcgHmC9Zzn3R4w,2021-03,988,0,194,0,100.0
UCMzVa7B8UEdrvUGsPmSgyjA,2021-03,28359,2537,1476,22,98.50948509485094
UCMzxQ58QL4NNbWghGymtHvw,2021-03,203992,83816,2396,880,63.272120200333895
UCNVEsYbiZjH5QLmGeSgTSzg,2021-03,240430,0,11110,0,100.0
UCNW1Ex0r6HsWRD4LCtPwvoQ,2021-03,608741,163636,18579,1627,91.24280101189515
UCNjTjd2-PMC8Oo_-dCEss7A,2021-03,12341,0,947,0,100.0
UCNwo7eikmX5HPs7NedWVBgw,2021-03,9448,3867,398,49,87.68844221105527
UCODNLyn3L83wEmC0DLL0cxA,2021-03,43237,20634,1710,304,82.22222222222221
UCORH-VrhMk_S24HzI0jSQEA,2021-03,903,0,52,0,100.0
UCOmjciHZ8Au3iKMElKXCF_g,2021-03,22171,1914,2067,57,97.24238026124819
UCOozmdnOhOrk3mojTazi-TQ,2021-03,9350,1548,816,39,95.22058823529412
UCOrjRyXJpMzfQFLWuWzGwlg,2021-03,13553,1605,866,43,95.03464203233256
UCOyYb1c43VlX9rc_lT6NKQw,2021-03,119915,17818,16573,328,98.02087733059795
UCP0BspO_AMEe3aQqqpo89Dg,2021-03,363381,84628,45193,839,98.14351780142943
UCP9ZgeIJ3Ri9En69R0kJc9Q,2021-03,655562,365448,4780,1409,70.52301255230125
UCPeF0V8dzSUYHwgLjvC86PQ,2021-03,3839,1719,266,41,84.58646616541353
UCPf-EnX70UM7jqjKwhDmS8g,2021-03,31354,6427,1409,101,92.83179559971612
UCPkhI1WcLilaKu44B5p0jZg,2021-03,20736,0,547,0,100.0
UCPvGypSgfDkVe7JG2KygK7A,2021-03,35964,4345,3843,226,94.1191777257351
UCQ0UDLQCjY0rmuxCDE38FGg,2021-03,386510,119396,29835,1497,94.98240321769732
UCQ7KYc1-IMQ8_Uz7XTE5DWw,2021-03,6109,970,217,22,89.86175115207374
UCRV9d6YCYIMUszK-83TwxVA,2021-03,14292,3101,1600,56,96.5
UCRXBTd80F5IIWWY4HatJ5Ug,2021-03,2138,406,146,22,84.93150684931507
UCRcLAVTbmx2-iNcXSsupdNA,2021-03,18553,6768,1160,175,84.91379310344827
UCReYPHLeFKv-0wYgX6F2Zhw,2021-03,9498,0,206,0,100.0
UCRfz2yOn8C7Jg5zq4Xi67-Q,2021-03,913,0,264,0,100.0
UCRqBKoKuX30ruKAq05pCeRQ,2021-03,348550,78033,13802,717,94.80510071004203
UCRvpMpzAXBRKJQuk-8-Sdvg,2021-03,67552,16799,3028,189,93.75825627476883
UCS9uQI-jC3DE0L4IpXyvr6w,2021-03,1111365,571120,41929,7299,82.59200076319493
